欄位名稱,定義,範圍值,類別∕連續,是否可以變成類別型態
Student_ID,每位學生的唯一識別碼（整數）。,1～500,連續,是
Age,學生的年齡（整數）。  ,18～25,連續,是
Gender,學生的性別。,"Male, Female, Other",類別,否
University_Year,學生目前的大學年份。 ,"1st Year, 2nd Year, 3rd Year, 4th Year",類別,否
Sleep_Duration,每晚的總睡眠時間（浮點數）。  ,4～9,連續,否
Study_Hours,每天平均學習時間（浮點數）。  ,0.1～12,連續,否
Screen_Time,每天在螢幕上花費的平均小時數（不包括學習）（浮動）。  ,1～4,連續,否
Caffeine_Intake,每天消耗的含咖啡因飲料的平均數量（整數）。  ,0～5,連續,是
Physical_Activity,每天花在體力活動上的平均分鐘數（整數）。  ,0～120,連續,是
Sleep_Quality,睡眠品質的主觀評分，範圍為 1 到 10（1 為最差，10 為最好）（整數）。  ,1～10,連續,是
Weekday_Sleep_Start,學生在工作日通常入睡的時間（浮動，採用 24 小時格式，例如，23:00 是晚上 11 點）。  ,1.08～21.93,連續,否
Weekend_Sleep_Start,學生通常在週末睡覺的時間（浮動，採用 24 小時格式）。,2.05～22,連續,否
Weekday_Sleep_End,學生通常在工作日醒來的時間（浮點數，24 小時格式）。,5～8.98,連續,否
Weekend_Sleep_End,學生通常在週末醒來的時間（浮動，採用 24 小時格式）。,7.02～10.99,連續,否
